what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1720159210383
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1720159210383
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1720159210384
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1720159210384
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1720159210385
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1720159210385
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1720159210385
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1720159210386
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1720159210386
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1720159210386
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1720159210386
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1720159210386
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1720159210388
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1720159210388
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1720159210388
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1720159210388
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1720159210389
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1720159210389
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1720159210389
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1720159210390
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1720159210390
os,sysinfo,,,"win32",1720159210392
arch,sysinfo,,,"x86",1720159210392
ws,sysinfo,,,"win32",1720159210392
locale,sysinfo,,,"pt_BR",1720159210392
processors,sysinfo,,,"12",1720159210392
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1720159210392
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1720159210392
java.specification.name,sysinfo,,,"Java Platform API Specification",1720159210392
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720159210392
java.specification.version,sysinfo,,,"1.6",1720159210392
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1720159210392
java.version,sysinfo,,,"1.6.0_23",1720159210392
java.vm.info,sysinfo,,,"mixed mode",1720159210392
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1720159210392
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1720159210392
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720159210392
java.vm.specification.version,sysinfo,,,"1.0",1720159210392
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1720159210392
java.vm.version,sysinfo,,,"19.0-b09",1720159210392
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1720159210729
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720159214593
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1720159215660
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1720159215694
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720159219373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1720159221349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1720159221976
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720159223266
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1720159225721
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720159225895
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1720159225950
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1720159225954
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1720159225955
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1720159225956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720159226492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720159255367
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1720159258685
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1720159258687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720159262683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720159296091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720159298396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720159308081
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720159310568
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720159310671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1720159312083
