what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1720157546666
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1720157546667
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1720157546667
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1720157546667
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1720157546668
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1720157546669
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1720157546669
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1720157546669
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1720157546670
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1720157546670
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1720157546671
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1720157546672
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1720157546672
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1720157546673
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1720157546683
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1720157546684
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1720157546684
os,sysinfo,,,"win32",1720157546686
arch,sysinfo,,,"x86",1720157546686
ws,sysinfo,,,"win32",1720157546686
locale,sysinfo,,,"pt_BR",1720157546686
processors,sysinfo,,,"12",1720157546686
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1720157546686
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1720157546686
java.specification.name,sysinfo,,,"Java Platform API Specification",1720157546686
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720157546686
java.specification.version,sysinfo,,,"1.6",1720157546686
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1720157546686
java.version,sysinfo,,,"1.6.0_23",1720157546686
java.vm.info,sysinfo,,,"mixed mode",1720157546686
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1720157546686
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1720157546686
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720157546686
java.vm.specification.version,sysinfo,,,"1.0",1720157546686
