what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1720305234853
java.version,sysinfo,,,"1.6.0_23",1720305234853
java.vm.info,sysinfo,,,"mixed mode",1720305234853
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1720305234853
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1720305234853
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720305234853
java.vm.specification.version,sysinfo,,,"1.0",1720305234853
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1720305234853
java.vm.version,sysinfo,,,"19.0-b09",1720305234853
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720305242588
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1720305243635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720305243697
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1720305247603
error,log,,,"Internal Error",1720305247728
error,log,,,"Problems encountered while deleting resources.",1720305247728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720305257620
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1720305257620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1720305257620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720305259995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720305262089
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1720305262089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1720305262089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720305265073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720305266979
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1720305266979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1720305266979
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1720305279011
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1720305279167
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1720305279167
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1720305279183
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1720305279183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720305279355
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1720305307540
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1720305307571
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1720305308196
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1720305308852
