what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720187718227
java.specification.version,sysinfo,,,"1.6",1720187718227
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1720187718227
java.version,sysinfo,,,"1.6.0_23",1720187718227
java.vm.info,sysinfo,,,"mixed mode",1720187718227
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1720187718227
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1720187718227
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720187718227
java.vm.specification.version,sysinfo,,,"1.0",1720187718227
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1720187718227
java.vm.version,sysinfo,,,"19.0-b09",1720187718227
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1720187718240
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1720187718292
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1720187718336
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1720187718867
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1720187720009
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720187720295
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1720187721380
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1720187721408
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1720187726122
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1720187726167
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1720187726170
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720187727922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720187728298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720187732742
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1720187737303
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1720187737459
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1720187737459
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1720187737460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720187739531
