what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"12",1720152311732
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1720152311732
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1720152311732
java.specification.name,sysinfo,,,"Java Platform API Specification",1720152311732
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720152311732
java.specification.version,sysinfo,,,"1.6",1720152311732
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1720152311732
java.version,sysinfo,,,"1.6.0_23",1720152311732
java.vm.info,sysinfo,,,"mixed mode",1720152311732
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1720152311732
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1720152311732
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720152311732
java.vm.specification.version,sysinfo,,,"1.0",1720152311732
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1720152311732
java.vm.version,sysinfo,,,"19.0-b09",1720152311732
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1720152311969
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720152321586
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1720152322197
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1720152322233
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720152328218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720152328698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720152330762
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1720152334669
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1720152334912
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1720152334916
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1720152334917
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1720152334932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720152335578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720152361681
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720152368659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1720152370053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1720152370718
