what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720212137939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212140499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212143137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212153481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212155444
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1720212161722
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1720212166542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212166886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212167118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212168845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212266023
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720212266038
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720212269893
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1720212270404
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1720212270435
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1a82108] return code: 4, 'other error'",1720212273447
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1a82108, /cygdrive/c/projeto_final_logica/A1/DE2_NET/software/proj_final/proj_final.elf] return code: 4, 'other error'",1720212277410
error,log,,,"Downloading ELF Process failed",1720212277410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212277457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212281740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212283419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212299449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720212305069
