what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to validate connection settings.",1720312003099
error,log,,,"Unable to validate connection settings.",1720312003099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312003114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312006067
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720312010942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312018021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312026021
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720312028662
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720312028849
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720312036689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312048917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312050911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312061777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312064903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312079847
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1720312085084
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720312085084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720312697247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720313691827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720314172760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720314180865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720314259636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720314274774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720314318376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720315993781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720315998430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720316321140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720316321724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317124361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317125086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317214212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317214697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317471060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317471494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317861843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317863501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317869621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317870939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317900017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720317900439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318265996
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720318275179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318278445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318282883
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720318283196
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720318285899
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720318286118
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1a82108, /cygdrive/c/proj_final/A1/DE2_NET/software/teste_sock/teste_sock.elf] return code: 134",1720318292282
error,log,,,"Downloading ELF Process failed",1720318292282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318292298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318295954
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720318298532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318305814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318322285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318325569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318327688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318333779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318412383
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720318414458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318416192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318418036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318423271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318425583
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720318425865
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720318428943
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720318429334
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720318437761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318446105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318447995
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720318459013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720318460903
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720318462560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720318464466
