what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1720182612059
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1720182612059
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1720182612060
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1720182612061
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1720182612061
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1720182612061
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1720182612062
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1720182612062
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1720182612062
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1720182612064
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1720182612064
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1720182612064
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1720182612064
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1720182612065
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1720182612065
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1720182612066
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1720182612066
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1720182612067
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1720182612067
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1720182612067
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1720182612067
os,sysinfo,,,"win32",1720182612070
arch,sysinfo,,,"x86",1720182612070
ws,sysinfo,,,"win32",1720182612070
locale,sysinfo,,,"pt_BR",1720182612070
processors,sysinfo,,,"12",1720182612070
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1720182612070
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1720182612070
java.specification.name,sysinfo,,,"Java Platform API Specification",1720182612070
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720182612070
java.specification.version,sysinfo,,,"1.6",1720182612070
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1720182612070
java.version,sysinfo,,,"1.6.0_23",1720182612070
java.vm.info,sysinfo,,,"mixed mode",1720182612070
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1720182612070
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1720182612070
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1720182612070
java.vm.specification.version,sysinfo,,,"1.0",1720182612070
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1720182612070
java.vm.version,sysinfo,,,"19.0-b09",1720182612070
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1720182612525
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720182617463
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1720182620074
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1720182620089
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720182620462
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1720182620539
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1720182620544
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1720182620545
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1720182620546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182620962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182663600
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1720182668702
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720182671334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1720182674167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1720182675574
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720182677558
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720182680629
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720182680749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1720182684719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1720182685790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720182689396
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720182693182
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1720182697062
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1720182697065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182722751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182724880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182730162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182751143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182764084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182766307
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1720182772577
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1720182779109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182779716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182779910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182784398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182787468
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720182787506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182788700
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720182791037
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1720182791219
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1720182791226
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1a82108, /cygdrive/c/projeto_final_logica/A1/DE2_NET/software/15/15.elf] return code: 134",1720182796549
error,log,,,"Downloading ELF Process failed",1720182796553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182799404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182802838
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720182805419
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720182808572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182808873
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720182808880
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720182813623
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720182940340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1720182952011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1720182954848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1720182956268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720182964039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720182981234
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720182984136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182986311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182990189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182992154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720182993878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183017814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183019980
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720183020427
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720183023300
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1720183023607
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720183028436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183034223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183076910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183077011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183078137
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1720183078278
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183078463
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1720183078938
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1720183078938
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1720183078938
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1720183079939
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1720183079939
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1720183079939
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1720183079939
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1720183079939
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1720183079939
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1720183079940
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1720183079940
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1720183079940
