what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1720183721637
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1720183721644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183759655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183761901
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720183764919
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720183765633
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720183770389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720183774477
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720183776209
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1720183778491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1720183782408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1720183787645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1720183791403
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1720183792683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183795405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183796084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183798529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183801530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183808383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720183810566
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1720183811034
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1720183813852
